Brand,Product,What it is,what is product used for,If you want to know more,Ingredients,Item Link
CLINIQUE,"Take The Day Off Makeup Remover For Lids, Lashes & Lips",[],[],[],,https://www.sephora.com/product/take-the-day-off-makeup-remover-for-lids-lashes-lips-P122735?icid2=products%20grid:p122735:product
CLINIQUE,High Impact Mascara,[],[],[],,https://www.sephora.com/product/high-impact-mascara-P122912?icid2=products%20grid:p122912:product
CLINIQUE,Blackhead Solutions Self-heating Blackhead Extractor,['A self-heating treatment that provides a 93 percent reduction in blackheads in six weeks.'],['- Pores - Oiliness'],This gentle-yet-effective treatment extracts blackheads without pain squeezing or damage to skin. When mixed with water the unique formula develops a warming sensation that gently opens clogged pores for an easy removal of blackhead-causing dirt oil and debris. It smooths the way for clearer softer shine-free skin and helps keep future blackheads from developing. ,,https://www.sephora.com/product/blackhead-solutions-self-heating-blackhead-extractor-P432243?icid2=products%20grid:p432243:product
CLINIQUE,Dramatically Different Hydrating Jelly, An unbelievably lightweight oil-free water-jelly that delivers 24-hour hydration repair plus pollution protection.,['- Dryness   '],This 24-hour hydrator with Clean Shield Technology™ locks in moisture and filters out pollution. The oil-free refreshing water-jelly texture is non-sticky leaves no residue and penetrates quickly. It strengthens skin’s moisture barrier improves resiliency and creates skin that’s smooth strong and healthy-looking with a pure clean glow. ,,https://www.sephora.com/product/dramatically-different-hydrating-jelly-P432241?icid2=products%20grid:p432241:product
CLINIQUE,Liquid Facial Soap,['A non-drying liquid soap that cleanses gently and thoroughly.'],['- Dryness'],Clinically formulated cleansing—that's how great skin starts. This dermatologist-developed Facial Soap maintains protective lipids and loosens surface flakes to leave skin clean comfortable and refreshed—never taut or dry. It rinses away easily and prepares skin perfectly for the exfoliating action of Clarifying Lotion while the convenient pump dispenser provides just the right amount of product.,,https://www.sephora.com/product/liquid-facial-soap-P139000?icid2=products%20grid:p139000:product
CLINIQUE,Lash Power Mascara Long-Wearing Formula,[],[],[],,https://www.sephora.com/product/lash-power-mascara-long-wearing-formula-P206900?icid2=products%20grid:p206900:product
CLINIQUE,Superpowder Double Face Makeup,[],[],[],,https://www.sephora.com/product/superpowder-double-face-makeup-P122736?icid2=products%20grid:p122736:product
CLINIQUE,Acne Solutions BB Cream Broad Spectrum SPF 40,A multitasking SPF cream for oily and acne-prone skins that feels weightless conceals imperfections and does not cause breakouts.,['- Oiliness- Sun protection'], - A mattifying BB cream specifically developed for acne-prone or oily skin to camouflage protect and hydrate - Features SPF 40 sun protection - Comes in five shades This all-in-one skin perfector for oily and acne-prone skin features high-level UVA/UVB protection moderate coverage and oil control in an ultralightweight formula. The non-greasy texture eliminates shine throughout the day does not cause breakouts and minimizes the look of pores. It's available in a broad range of natural-looking shades from light to deep—mattifying skin without leaving it feeling dry or uncomfortable. Long-lasting for up to 12 hours of wear and oil-free it conceals imperfections without clogging pores for a super smooth beautiful finish.,,https://www.sephora.com/product/acne-solutions-bb-cream-broad-spectrum-spf-40-P394252?icid2=products%20grid:p394252:product
CLINIQUE,Moisture Surge Intense Skin Fortifying Hydrator,"[""A cream-gel that instantly re-hydrates for 24 hours while helping fortify and repair skin's moisture barrier.""]",['- Dryness- Fine lines and wrinkles- Dullness and uneven texture'], This rich oil-free cream-gel instantly re-hydrates. Skin stays comfortably plumped even 24 hours after you put it on. Daily use helps fortify and repair skin's moisture barrier to keep moisture in and environmental irritants out. ,,https://www.sephora.com/product/moisture-surge-intense-for-very-dry-to-dry-combination-skin-P302901?icid2=products%20grid:p302901:product
CLINIQUE,Fresh Pressed Daily Booster with Pure Vitamin C 10%,A unique antiaging formula that harnesses the full power of pure fresh vitamin C at the highest concentration to brighten even and retexturize skin.,['- Uneven skintone- Fine lines and wrinkles- Dullness and uneven texture'],Just like your morning fresh-pressed juice or vitamin helps you stay healthy on the inside this super-potent Daily Booster was designed as a daily supplement to visibly rejuvenate skin from the outside. And it's a simple seamless way to reinvigorate your routine without changing a thing. Simply mix two drops with your moisturizer morning and evening and see brighter skin a reduction of age spots and a visible improvement in fine lines and wrinkles over time. ,,https://www.sephora.com/product/fresh-pressed-daily-booster-with-pure-vitamin-c-10-P416824?icid2=products%20grid:p416824:product
CLINIQUE,Acne Solutions Clear Skin System Starter Kit ,['A daily acne-fighting regimen that’s clinically proven to deliver a 37 percent improvement in active blemishes in three days. '],[],[],,https://www.sephora.com/product/acne-solutions-clear-skin-system-starter-kit-P188308?icid2=products%20grid:p188308:product
CLINIQUE,Clarifying Lotion 2,A gentle oil-free exfoliating lotion for dry or combination skin.,[],[],,https://www.sephora.com/product/clarifying-lotion-2-P122882?icid2=products%20grid:p122882:product
CLINIQUE,Quickliner for Eyes Intense,[],[],[],,https://www.sephora.com/product/quickliner-for-eyes-intense-P305114?icid2=products%20grid:p305114:product
CLINIQUE,Stay-Matte Oil-Free Makeup ,[],[],[],,https://www.sephora.com/product/stay-matte-oil-free-makeup-P310726?icid2=products%20grid:p310726:product
CLINIQUE,Clinique Smart Custom-Repair Serum,A powerful multitalented serum that visibly improves wrinkles evens skintone lifts and brightens for skin that looks firm fresh and youthful-looking.,['- Fine lines and wrinkles- Dark spots and uneven skin tone- Loss of firmness and elasticity'],Clinique smart technology plus calming ingredients like red algae visibly transform skin—increasing skin’s capacity for repair. Recommended for all skin types ages and ethnicities skin is visibly firmer smoother more radiant and more youthful-looking. Featuring patented technology developed over five years of research this serum smooths the way for flawless makeup application.,,https://www.sephora.com/product/clinique-smart-custom-repair-serum-P387616?icid2=products%20grid:p387616:product
CLINIQUE,Acne Solutions Clinical Clearing Gel,['A daily treatment gel for acne-clearing results equal to a leading topical prescription.'],['- Acne and blemishes- Pores- Oiliness'],['This ultra-powerful daily treatment gel is powered by Clinique’s four-in-one clearing complex with salicylic acid to start clearing blemishes instantly and help prevent new ones from forming. You can make visibly clearer skin a way of life.'],,https://www.sephora.com/product/acne-solutions-clinical-clearing-gel-P385432?icid2=products%20grid:p385432:product
CLINIQUE,Cheek Pop,[],[],[],,https://www.sephora.com/product/cheek-pop-P384996?icid2=products%20grid:p384996:product
CLINIQUE,Almost Lipstick,[],[],[],,https://www.sephora.com/product/almost-lipstick-P122751?icid2=products%20grid:p122751:product
CLINIQUE,3-Step Skin Care System For Skin Type 2 Dry to Dry Combination Skin,['A set of bestselling skin care products for dry and dry to combination skin types.'],[],[],,https://www.sephora.com/product/3-step-skin-care-system-for-skin-type-2-dry-to-dry-combination-skin-P383100?icid2=products%20grid:p383100:product
CLINIQUE,Pep-Start Eye Cream,[' An instant brightening and hydrating eye cream that features a blend of peptides to help combat the visible effects of your busy life.         '],['- Dryness- Puffiness'], This lightweight eye cream provides a rush of hydration and instant brightening so you look and feel refreshed wide awake and ready for anything in as little as three seconds. Its cool touch and de-puffing tip help keep eyes looking fresh while smoothing the way for makeup. Plus its peptides help support natural collagen reserves that can be threatened by stress fatigue and lack of sleep—the tell-tale signs of your busy life.,,https://www.sephora.com/product/pep-start-eye-cream-P403817?icid2=products%20grid:p403817:product
CLINIQUE,Chubby Stick Moisturizing Lip Colour Balm,[],[],[],,https://www.sephora.com/product/chubby-stick-moisturizing-lip-colour-balm-P279113?icid2=products%20grid:p279113:product
CLINIQUE,Pretty Easy Liquid Eyelining Pen,[],[],[],,https://www.sephora.com/product/pretty-easy-liquid-eyelining-pen-P398415?icid2=products%20grid:p398415:product
CLINIQUE,Moisture Surge CC Cream Hydrating Colour Corrector Broad Spectrum SPF 30,A simple step for glowing skin that moisturizes perfects and protects with SPF.,['- Dullness and uneven skintone'], Lightweight formula instantly color corrects a range of complexion concerns—redness dullness sallowness—so all you see is a healthy-looking glow. Oil-free hydration and sunscreen mean a more flawless look tomorrow too.,,https://www.sephora.com/product/moisture-surge-cc-cream-hydrating-colour-corrector-broad-spectrum-spf-30-P378639?icid2=products%20grid:p378639:product
CLINIQUE,Quickliner for Eyes,[],[],[],,https://www.sephora.com/product/quickliner-for-eyes-P122765?icid2=products%20grid:p122765:product
CLINIQUE,Acne Solutions Liquid Makeup,[],[],[],,https://www.sephora.com/product/acne-solutions-liquid-makeup-P259605?icid2=products%20grid:p259605:product
CLINIQUE,Exfoliating Scrub,[' A water-based scrub for oily skin.'],['- Oiliness- Pores- Acne and blemishes'], This scrub de-flakes skin unclogs pores and visibly softens fine lines to help you achieve a clearer and more refreshed complexion.,,https://www.sephora.com/product/exfoliating-scrub-P122718?icid2=products%20grid:p122718:product
CLINIQUE,All About Eyes,An award-winning lightweight eye cream-gel that diminishes the appearance of eye puffiness darkness and fine lines.,['- Puffiness- Dark circles- Fine lines and wrinkles'],This nourishing cream-gel formulation brightens dark circles and sends puffiness packing while actually helping to hold eye makeup in place. It refreshes and brightens eye area and is recommended for use morning and night both under eyes and on lids.,,https://www.sephora.com/product/all-about-eyes-P122774?icid2=products%20grid:p122774:product
CLINIQUE,Acne Solutions Clarifying Lotion,A gentle medicated lotion that exfoliates unclogs pores and helps reduce excess oil.,['- Acne and blemishes- Pores- Oiliness'], The second step in Clinique's Acne Solutions Clear Skin System this lotion creates skin that's visibly clearer calmer and less oily. Its exfoliating properties sweep away dead surface cells while oil-absorbing powders control the shine-producing secretions that can lead to breakouts. After one week of use skin is visibly clearer calmer and less oily.,,https://www.sephora.com/product/acne-solutions-clarifying-lotion-P188307?icid2=products%20grid:p188307:product
CLINIQUE,Clinique Happy,[],[],[],,https://www.sephora.com/product/clinique-happy-P122641?icid2=products%20grid:p122641:product
CLINIQUE,Blended Face Powder and Brush,[],[],[],,https://www.sephora.com/product/blended-face-powder-brush-P122668?icid2=products%20grid:p122668:product
CLINIQUE,Moisture Surge Overnight Mask,A creamy oil-free facial mask that helps skin drink deep overnight for a soft dewy glow by morning. ,[],[],,https://www.sephora.com/product/moisture-surge-overnight-mask-P377577?icid2=products%20grid:p377577:product
CLINIQUE,"Kiss Me, Honey",[],[],[],,https://www.sephora.com/product/beauty-on-fly-kiss-me-honey-P433651?icid2=products%20grid:p433651:product
CLINIQUE,High Impact Waterproof Mascara,[],[],[],,https://www.sephora.com/product/high-impact-waterproof-mascara-P377219?icid2=products%20grid:p377219:product
CLINIQUE,Acne Solutions All-Over Clearing Treatment Oil-Free ,A lightweight medicated  treatment that helps prevent acne.,[],[],,https://www.sephora.com/product/acne-solutions-all-over-clearing-treatment-oil-free-P188306?icid2=products%20grid:p188306:product
CLINIQUE,Clarifying Lotion 3,A gentle oil-free exfoliating lotion for combination and oily skin.,[],[],,https://www.sephora.com/product/clarifying-lotion-3-P122881?icid2=products%20grid:p122881:product
CLINIQUE,Take The Day Off Micellar Cleansing Towelettes for Face & Eyes,['A packette of ready-to-go towelettes that whisk away face and eye makeup without irritation—or the need for water.'],[],[],,https://www.sephora.com/product/take-day-off-micellar-cleansing-towelettes-for-face-eyes-P406924?icid2=products%20grid:p406924:product
CLINIQUE,"Great Skin, Great Deal Set for Combination Oily Skin",['A dermatologist-developed three-step skin care regimen for combination oily skin types. '],['- Dryness- Pores'], Customized to give combination oily skin exactly what it needs to be great skin this must-have set includes deluxe travel sizes of Liquid Facial Soap Oily Skin Formula and Clarifying Lotion 3. The non-drying Facial Soap cleanses skin gently and thoroughly producing a comfortable refreshed complexion. The calming exfoliating lotion whisks away pore-clogging oil and flakes to reveal clearer skin. Plus it features a full-size Dramatically Different Moisturizing Gel to soften smooth and improve. This set contains:- 1 oz/ 29.6 mL Liquid Facial Soap Oily Skin Formula- 1 oz/ 28.3 g Clarifying Lotion 3- 4.2 oz/ 119.07 g Dramatically Different Moisturizing Gel,,https://www.sephora.com/product/great-skin-great-deal-set-for-combination-oily-skin-P385631?icid2=products%20grid:p385631:product
CLINIQUE,"Turn It Up, Take It Off",A travel set to create a bold dramatic eye then take it all off.,[],Pretty Easy™ Liquid Eyelining Pen creates a clean line in one steady sweep painting on pure deep color from thin to thick. High Impact™ Mascara lengthens and defines for a dramatic look. Take The Day Off™ Makeup Remover For Lids Lashes &amp; Lips whisks away eye makeup without irritation stinging or tugging. Non-greasy and non-drying Take The Day Off™ Cleansing Balm dissolves tenacious makeup and sunscreens while gently helping remove the stress of pollution. This set contains:- 0.01 oz/ 0.30 mL Pretty Easy Liquid Eyelining Pen in Black- 0.23 oz/ 6.5 g High Impact Mascara in Black- 1.69 oz/ 50 mL Take The Day Off Makeup Remover For Lids Lashes &amp; Lips- 0.50 oz/ 14.15 g Take The Day Off Cleansing Balm,,https://www.sephora.com/product/turn-it-up-take-it-off-P436132?icid2=products%20grid:p436132:product
CLINIQUE,All About Shadow 8-Pan Palette ,[],[],[],,https://www.sephora.com/product/all-about-shadow-8-pan-palette-P384505?icid2=products%20grid:p384505:product
CLINIQUE,Superfine Liner for Brows,[],[],[],,https://www.sephora.com/product/superfine-liner-for-brows-P122868?icid2=products%20grid:p122868:product
CLINIQUE,Superbalanced Makeup,[],[],[],,https://www.sephora.com/product/superbalanced-makeup-P122740?icid2=products%20grid:p122740:product
CLINIQUE,Redness Solutions Daily Relief Cream,[],[],[],,https://www.sephora.com/product/redness-solutions-daily-relief-cream-P201440?icid2=products%20grid:p201440:product
CLINIQUE,Lash Building Primer,[],[],[],,https://www.sephora.com/product/lash-building-primer-P122866?icid2=products%20grid:p122866:product
CLINIQUE,Smart Night Custom-Repair Moisturizer - Very Dry to Dry,A nighttime moisturizer for very dry to dry skin types that helps visibly smooth lines and wrinkles firm brighten and strengthen skin’s moisture barrier as you sleep.,[],[],,https://www.sephora.com/product/smart-night-custom-repair-moisturizer-very-dry-to-dry-P403455?icid2=products%20grid:p403455:product
CLINIQUE,Dramatically Different Moisturizing Lotion+ Mini,A fast-absorbing lightweight daily moisturizer for dry to combination skin types.,['- Dryness']," This cult-classic moisture ""drink"" developed by Clinique's dermatologists maintains optimal moisture balance for very dry skin or comfortable to oily skin in the T-zone. With a silky texture and quick penetration this lightweight formula strengthens skin's own moisture barrier by 54 percent so more moisture stays in. All-day hydration leaves skin silky-soft springy and absolutely radiant. Skin looks younger longer. ",,https://www.sephora.com/product/dramatically-different-moisturizing-lotion-mini-P425857?icid2=products%20grid:p425857:product
CLINIQUE,"Great Skin, Great Deal Set for Dry Combination Skin",[],[],[],,https://www.sephora.com/product/great-skin-great-deal-set-for-dry-combination-skin-P385632?icid2=products%20grid:p385632:product
CLINIQUE,Dramatically Different Moisturizing Gel Mini,A lightweight fast-absorbing gel hydrator developed specifically for the needs of combination to oily skin.,['- Dryness- Oiliness'], This genius gel developed by Clinique's dermatologists maintains optimal moisture balance for oily skin. The refreshing oil-free formula combines all-day hydration with skin-strengthening ingredients so skin looks younger longer and feels fresh and comfortable. ,,https://www.sephora.com/product/dramatically-different-moisturizing-gel-mini-P425860?icid2=products%20grid:p425860:product
CLINIQUE,Pep-Start 2-in-1 Exfoliating Cleanser,A daily cleanser and scrub for clear soft skin.,['- Pores- Oiliness'],By combining gentle cleansing with exfoliating power this two-in-one formula takes away dirt dulling dead skin cells excess oil and impurities to give skin a smooth finish and a radiant glow. Gentle enough to use twice a day it preps skin for flawless makeup application.  ,,https://www.sephora.com/product/pep-start-2-in-1-exfoliating-cleanser-P409101?icid2=products%20grid:p409101:product
CLINIQUE,Clinique For Men™ Great Skin For Him Set,['A skin-perfecting regimen for men. '],['- Dryness'],Charcoal Face Wash delivers a deep-pore clean with a soothing non-drying lather that gently foams away impurities. Natural charcoal detoxes drawing out the dirt and excess oil that can clog pores. Face Scrub exfoliates revives and smooths skin—clearing the way for closest shaves. Fine non-abrasive grains de-flake lift beard hairs and help reduce ingrown hairs. Aloe Shave Gel softens and cushions face and beard for a smooth close shave. The lightweight fast-absorbing Moisturizing Lotion delivers hydration plus skin-strengthening ingredients.  This set contains:- 6.7 oz/ 200 mL Clinique For Men™ Charcoal Face Wash- 1 oz/ 30 mL Clinique For Men™ Face Scrub- 1.4 oz/ 41 mL Clinique For Men™ Aloe Shave Gel- 3.4 oz/ 100 mL Clinique For Men™ Moisturizing Lotion,,https://www.sephora.com/product/clinique-for-men-essentials-set-P436131?icid2=products%20grid:p436131:product
CLINIQUE,Moisture Surge Face Spray,An oil-free face spray that rapidly replenishes skin's moisture level restoring balance softening and soothing. ,[],[],,https://www.sephora.com/product/moisture-surge-face-spray-P378866?icid2=products%20grid:p378866:product
CLINIQUE,High Impact Waterproof Mascara,[],[],[],,https://www.sephora.com/product/high-impact-waterproof-mascara-P377219?icid2=products%20grid:p377219:product
CLINIQUE,Acne Solutions All-Over Clearing Treatment Oil-Free ,A lightweight medicated  treatment that helps prevent acne.,[],[],,https://www.sephora.com/product/acne-solutions-all-over-clearing-treatment-oil-free-P188306?icid2=products%20grid:p188306:product
CLINIQUE,Clarifying Lotion 3,A gentle oil-free exfoliating lotion for combination and oily skin.,[],[],,https://www.sephora.com/product/clarifying-lotion-3-P122881?icid2=products%20grid:p122881:product
CLINIQUE,Take The Day Off Micellar Cleansing Towelettes for Face & Eyes,['A packette of ready-to-go towelettes that whisk away face and eye makeup without irritation—or the need for water.'],[],[],,https://www.sephora.com/product/take-day-off-micellar-cleansing-towelettes-for-face-eyes-P406924?icid2=products%20grid:p406924:product
CLINIQUE,"Great Skin, Great Deal Set for Combination Oily Skin",['A dermatologist-developed three-step skin care regimen for combination oily skin types. '],['- Dryness- Pores'], Customized to give combination oily skin exactly what it needs to be great skin this must-have set includes deluxe travel sizes of Liquid Facial Soap Oily Skin Formula and Clarifying Lotion 3. The non-drying Facial Soap cleanses skin gently and thoroughly producing a comfortable refreshed complexion. The calming exfoliating lotion whisks away pore-clogging oil and flakes to reveal clearer skin. Plus it features a full-size Dramatically Different Moisturizing Gel to soften smooth and improve. This set contains:- 1 oz/ 29.6 mL Liquid Facial Soap Oily Skin Formula- 1 oz/ 28.3 g Clarifying Lotion 3- 4.2 oz/ 119.07 g Dramatically Different Moisturizing Gel,,https://www.sephora.com/product/great-skin-great-deal-set-for-combination-oily-skin-P385631?icid2=products%20grid:p385631:product
CLINIQUE,"Turn It Up, Take It Off",A travel set to create a bold dramatic eye then take it all off.,[],Pretty Easy™ Liquid Eyelining Pen creates a clean line in one steady sweep painting on pure deep color from thin to thick. High Impact™ Mascara lengthens and defines for a dramatic look. Take The Day Off™ Makeup Remover For Lids Lashes &amp; Lips whisks away eye makeup without irritation stinging or tugging. Non-greasy and non-drying Take The Day Off™ Cleansing Balm dissolves tenacious makeup and sunscreens while gently helping remove the stress of pollution. This set contains:- 0.01 oz/ 0.30 mL Pretty Easy Liquid Eyelining Pen in Black- 0.23 oz/ 6.5 g High Impact Mascara in Black- 1.69 oz/ 50 mL Take The Day Off Makeup Remover For Lids Lashes &amp; Lips- 0.50 oz/ 14.15 g Take The Day Off Cleansing Balm,,https://www.sephora.com/product/turn-it-up-take-it-off-P436132?icid2=products%20grid:p436132:product
CLINIQUE,All About Shadow 8-Pan Palette ,[],[],[],,https://www.sephora.com/product/all-about-shadow-8-pan-palette-P384505?icid2=products%20grid:p384505:product
CLINIQUE,Superfine Liner for Brows,[],[],[],,https://www.sephora.com/product/superfine-liner-for-brows-P122868?icid2=products%20grid:p122868:product
CLINIQUE,Superbalanced Makeup,[],[],[],,https://www.sephora.com/product/superbalanced-makeup-P122740?icid2=products%20grid:p122740:product
CLINIQUE,Redness Solutions Daily Relief Cream,[],[],[],,https://www.sephora.com/product/redness-solutions-daily-relief-cream-P201440?icid2=products%20grid:p201440:product
CLINIQUE,Lash Building Primer,[],[],[],,https://www.sephora.com/product/lash-building-primer-P122866?icid2=products%20grid:p122866:product
CLINIQUE,Smart Night Custom-Repair Moisturizer - Very Dry to Dry,A nighttime moisturizer for very dry to dry skin types that helps visibly smooth lines and wrinkles firm brighten and strengthen skin’s moisture barrier as you sleep.,[],[],,https://www.sephora.com/product/smart-night-custom-repair-moisturizer-very-dry-to-dry-P403455?icid2=products%20grid:p403455:product
CLINIQUE,High Impact Extreme Volume Mascara,[],[],[],,https://www.sephora.com/product/high-impact-extreme-volume-mascara-P374580?icid2=products%20grid:p374580:product
CLINIQUE,Even Better Eyes Dark Circle Corrector,An oil-free hydrating cream that visibly lightens dark undereye circles.,[],[],,https://www.sephora.com/product/even-better-eyes-dark-circle-corrector-P374841?icid2=products%20grid:p374841:product
CLINIQUE,Superprimer Face Primer - Universal Face Primer,[],[],[],,https://www.sephora.com/product/superprimer-face-primer-universal-face-primer-P382504?icid2=products%20grid:p382504:product
CLINIQUE,Chubby Stick Sculpting Contour,[],[],[],,https://www.sephora.com/product/chubby-stick-sculpting-contour-P393633?icid2=products%20grid:p393633:product
CLINIQUE,Broad Spectrum SPF 21 Moisturizer,[],[],[],,https://www.sephora.com/product/broad-spectrum-spf-21-moisturizer-P122806?icid2=products%20grid:p122806:product
CLINIQUE,Sun-Kissed Face Gelee Complextion Multitasker,[],[],[],,https://www.sephora.com/product/sun-kissed-face-gelee-complextion-multitasker-P407381?icid2=products%20grid:p407381:product
CLINIQUE,Great Skin Home and Away (Type I/II),A custom-fit three-step skincare kit for very dry to dry-combination skin offered in full sizes and minis.,[],This non-drying liquid facial soap cleans gently and rinses easily. Clarifying Lotion Twice A Day Exfoliator sweeps away dulling flakes for fresher more moisturized skin. Dramatically Different Moisturizing Lotion+™ delivers up to eight hours of skin-strengthening hydration for a glowing complexion. Keep the full sizes at home take the minis to go. This set contains:- 6.7 oz/ 200 mL Liquid Facial Soap Mild- 1 oz/ 30 mL Liquid Facial Soap Mild- 16.5 oz/ 487 mL Clarifying Lotion Twice A Day Exfoliator- 2 oz/ 60 mL Clarifying Lotion Twice A Day Exfoliator- 4.2 oz/ 125 mL Dramatically Different Moisturizing Lotion+™- 1 oz/ 30 mL Dramatically Different Moisturizing Lotion+™- Bag,,https://www.sephora.com/product/great-skin-home-away-type-i-ii-P436637?icid2=products%20grid:p436637:product
CLINIQUE,Limited Edition Dramatically Different™ Moisturizing Gel,A dermatologist-developed oil-free face moisturizer that softens and smooths your skin.,['- Dryness- Oiliness'],This genius gel combines oil-free hydration with skin-strengthening ingredients. Developed by Clinique's dermatologists it refreshes skin and maintains optimal moisture balance.  ,,https://www.sephora.com/product/limited-edition-dramatically-different-moisturizing-gel-P436640?icid2=products%20grid:p436640:product
CLINIQUE,"Airbrush Concealer Illuminates, Perfects",[],[],[],,https://www.sephora.com/product/airbrush-concealer-illuminates-perfects-P122914?icid2=products%20grid:p122914:product
CLINIQUE,City Block Purifying Charcoal Clay Mask + Scrub,['A five-minute dual-action detoxifying and exfoliating clay mask.'],['- Pores- Dullness and uneven texture   '],This multiaction formula purifies and polishes skin for a delightful deep-clean treatment. Natural bamboo charcoal and kaolin clay help remove pollution and impurities while natural silica beads gently refine texture.    ,,https://www.sephora.com/product/city-block-purifying-charcoal-clay-mask-scrub-P409919?icid2=products%20grid:p409919:product
CLINIQUE,Long Last Soft Shine Lipstick,[],[],[],,https://www.sephora.com/product/long-last-soft-shine-lipstick-P122685?icid2=products%20grid:p122685:product
