Brand,Product,What it is,what is product used for,If you want to know more,Ingredients,Item Link
Dr. Jart+,Cicapair™ Friends Skin Soothers,['A skincare set that soothes redness and irritation with the power of tiger grass. '],['- Redness- Dryness- Dullness and uneven texture'], Cicapair™Tiger Grass Color Correcting Treatment SPF 30 is a green-to-beige color-correcting treatment that corrects redness and helps protect skin from environmental aggressors. Cicapair™ Tiger Grass Re.Pair Serum is a highly concentrated fast-acting serum that soothes skin sensitivity while calming redness and irritation. Cicapair™ Tiger Grass Cream is a moisturizing cream to calm sensitive irritated inflamed skin. Cicapair™ Tiger Grass Nightly Re.Pair Mask is an overnight mask that soothes redness and irritation to calm damaged skin. Cicapair™ Tiger Grass Camo Drops is a smart hybrid product—an ultra-lightweight revitalizing serum and color corrector that neutralizes redness and turns on skin’s glow. ,,https://www.sephora.com/product/cicapair-friends-skin-soothers-P436667?icid2=products%20grid:p436667:product
Dr. Jart+,Cicapair™ Tiger Grass Cream,A skin cream to calm sensitive irritated inflamed skin.  ,['- Redness- Uneven skin tone- Acne and blemishes'], Cicapair Tiger Grass Cream soothes skin damage caused by dryness irritation and inflammation. It’s formulated with an advanced Nolsome Capsule which features a double-layer structure to improve penetration of ingredients. It’s formulated with resurrection plant houttuynia cordata and yarrow to enhance the skin’s viability and help support strong skin. It’s infused with minerals including sodium potassium calcium and magnesium to help improve skin moisture levels and restore fatigued skin for a healthy appearance.,,https://www.sephora.com/product/cicapair-tiger-grass-cream-P411539?icid2=products%20grid:p411539:product
Dr. Jart+,Lover Rubber Masks,['A line of targeted two-step rubber masks that facilitate the delivery of actives while providing cooling benefits.'],['- Dryness- Dullness and uneven texture- Pores and blemishes'], Each of these two-step systems includes a highly concentrated ampoule serum and a rubber mask that was developed to target specific concerns and for an instant pick-me-up. The hydrating rubber mask wraps the skin to prevent active ingredients from evaporating allowing for more complete penetration to visibly improve the appearance of fine lines and pores and make skin look supple and dewy. The rubber mask is derived from algae and lowers skin temperature to cool and calm. The lipophilic and hydrophilic actives cling to moisture in the skin to maximize benefits.This collection includes:Hydration Lover: Phyto Keratin Complex a botanical protein provides moisturizing benefits to improve water retention. Green Seaweed Extract rich in vitamin C and minerals maintains the balance of skin for a more hydrated and supple look.Bright Lover: A vitamin complex brightens and revitalizes the look of skin with vitamins A B C and E and supports natural collagen synthesis. Brown Seaweed featuring laminaria japonica and undaria pinnatifida extract improves the look of dullness for more radiant glowing skin.Clear Skin Lover: Pore Clear Complex purifies the pores providing a refreshing feeling. A multi-seaweed complex featuring gelidium cartilagineum extract and laminaria japonica extract leaves skin smooth and healthy looking.Firm Lover: Contains berry complex featuring salicylic acid to support the appearance of firmer skin and red seaweed to help maintain moisture for a more supple-looking complexion.,,https://www.sephora.com/product/lover-rubber-masks-P429528?icid2=products%20grid:p429528:product
Dr. Jart+,Dermaclear™ Micro Milk Peel,['A double-layered peel that contains gentle acids to exfoliate and nourish skin without the risk of irritations.'],['- Dullness and uneven texture- Pores- Fine lines and wrinkles'], Inspired by dermatological milk peel procedures popular in Asia Dr.Jart developed Dermaclear™ Micro Milk Peel. It delivers gentle exfoliation without causing irritation to keep skin balanced and smooth in order to prep skin for the rest of your beauty regime. The double-layered formula is packed with both powerful exfoliating acids and nourishing ingredients to maintain balanced healthy skin. Lactic and salicylic acid support rewened suppleness for softer skin. Coconut milk panthenol squalene and allantoin deliver a calming and hydrating feeling to the skin by forming a protective moisture barrier. Glutathione tones and brightens leaving your skin feeling smooth and looking radiant.,,https://www.sephora.com/product/dermaclear-micro-milk-peel-P411817?icid2=products%20grid:p411817:product
Dr. Jart+,Black Label Detox BB Beauty Balm,['A beauty balm that supports antiaging while hiding uneven skin tone and blemishes.'],['- Redness- Dullness/uneven texture- Acne/blemishes- Uneven skin tone- Dark spots'],Perfect and protect skin instantly with this all-in-one multifunctional Beauty Balm. This triple-action formula naturally covers blemishes and uneven skin tone and contains botanical actives to purify and calm blemish-prone or irritated skin. Arbutin works to erase unwanted dark spots while caviar extract and antioxidants protect skin from inner and outer pollutants for an enhanced radiance. Lightweight with sunscreen protection for simple one-step neutralizing coverage this soothing cream delivers optimal results for both women and men. ,,https://www.sephora.com/product/black-label-detox-bb-beauty-balm-P374568?icid2=products%20grid:p374568:product
Dr. Jart+,Water Replenishment Cotton Sheet Mask,An ultra-hydrating face mask that moisturizes dry dehydrated skin.  ,['- Dryness- Redness- Fine lines and wrinkles'], This mask contains allantoin marine collagen chamomile flower water and witch hazel to provide the skin continuous moisture. The sheet features an immediate cooling sensation leaving skin clean hydrated and completely refreshed.,,https://www.sephora.com/product/water-replenishment-cotton-sheet-mask-P391363?icid2=products%20grid:p391363:product
Dr. Jart+,Ceramidin™ Liquid,A lightweight moisturizing toner that leaves skin supple moisturized and ready to absorb the next products in your regimen.,['- Dryness- Loss of firmness and elasticity'],This toner is now supercharged with 5-cera complex which leaves skin supple and moisturized. It also features panthenol a calming complex of fig centella asiatica and phyto extracts which relieves cracked or flaky skin. This toner is for those who have dry flaky and rough-textured skin.,,https://www.sephora.com/product/ceramidin-tm-liquid-P434364?icid2=products%20grid:p434364:product
Dr. Jart+,Shake & Shot™ To Go Set,A limited-edited collection of four DIY Shaking Rubber Masks featuring freshly-made cream-to-sheet formulas that target an array of skin concerns.,['- Dryness- Redness- Fine lines and wrinkles']," Dr.Jart uses the same ""rubber mask"" technique found in high-end Korean spas to achieve equivalent high-performance results—without the fuss of mixing a traditional modeling pack. The innovative cream-to-sheet formula penetrates skin texture more deeply than a sheet mask to deliver high-potency active ingredients. Each fresh-made mask penetrates skin surface to quickly and effectively deliver the benefits your skin needs most. Hydrate soothe brighten or firm…the choice is yours! Just shake it up and give skin a shot! Shake &amp; Shot Rubber Hydro Mask moisturizes and revitalizes the complexion. The Hydro Mask ampoule contains a cocktail of vitamin B5 (panthenol) and expert moist complex rich in amino acids to help strengthen skin’s moisture barrier. Shake &amp; Shot Rubber Soothing Mask calms and repairs the complexion. The Soothing Mask ampoule contains vitamin K3 (menadione) and a soothing botanical complex to calm. Shake &amp; Shot Rubber Brightening Mask brightens dull skin. The Brightening Mask ampoule contains vitamin C (ascorbic acid) and sea buckthorn fruit extract rich in vitamins to even out skin tone brighten darkness and revitalize skin. Shake &amp; Shot Rubber Firming Mask improves skin elasticity and firmness. The Firming Mask ampoule contains vitamin A (retinol) and OxyForce™ cellular active to help support collagen synthesis and enhance elasticity and firmness of sagging skin. This set contains:- 1.94 oz/ 55 g Single-use Shake &amp; Shot Rubber Hydro Mask- 1.94 oz/ 55 g Single-use Shake &amp; Shot Rubber Soothing Mask- 1.94 oz/ 55 g Single-use Shake &amp; Shot Rubber Brightening Mask- 1.94 oz/ 55 g Single-use Shake &amp; Shot Rubber Firming Mask",,https://www.sephora.com/product/shake-shot-tm-to-go-P432046?icid2=products%20grid:p432046:product
Dr. Jart+,Dermask Water Jet Vital Hydra Solution™,"["" A cellulose sheet mask that deeply hydrates and replenishes skin's moisture levels.""]",['- Dryness - Redness'],"[""The Dermask Water Jet Vital Hydra Solution™ is made with fine cellulose fiber to help active ingredients penetrate deeply for ultimate hydration. It contains aquaxyl and xylitol to enhance moisture retention and strengthen the skin's barrier by preventing water loss. Oligo-hyaluronic acid and algae extract supports long-lasting moisturization and supports natural collagen synthesis to keep your skin looking and feeling hydrated and completely refreshed.""]",,https://www.sephora.com/product/dermask-water-jet-vital-hydra-solution-P397623?icid2=products%20grid:p397623:product
Dr. Jart+,Water Drop Hydrating Moisturizer,['A hydration-replenishing formula to provide long-lasting moisture and brighten dull-looking skin.'],['- Dryness- Dullness and uneven texture- Uneven skin tone'],This lightweight refreshing moisturizer features a special emulsion system with droplets packed full of brightening and nourishing ingredients. The innovative formula bursts into tiny water droplets when applied—providing instant hydration and brightening dull lackluster skin. Great for all skin types it relieves dry sensitive skin revitalizes and prevents visible signs of aging with concentrated antioxidants for a healthier-looking complexion.,,https://www.sephora.com/product/water-drop-hydrating-moisturizer-P407073?icid2=products%20grid:p407073:product
Dr. Jart+,Dermaclear™ Micro Water,An all-in-one cleansing water that tones brightens and removes makeup and impurities in one step.,['- Dryness- Dullness and uneven texture- Pores'], Dermaclear Micro Water is made with 85 percent hydrogen mineral water. Hydrogen mineral water penetrates to remove all makeup and impurities while toning the skin and is suitable for even the delicate eye area. Skin looks and feels purified fresh revived and toned without tightness or dryness.,,https://www.sephora.com/product/dermaclear-micro-water-P391794?icid2=products%20grid:p391794:product
Dr. Jart+,Dermask Micro Jet Clearing Solution™,['An ultra-fine microfiber sheet mask that helps combat breakouts and reduces the appearance of scars and uneven skin tone.  '],['- Acne and blemishes- Pores- Dullness and uneven skin tone'], This ultra-fine mask soothes redness and inflammation. It contains glutathione which evens out skintone and reduces the appearance of hyperpigmentation while salicylic acid tea tree oil and niacinamide help diminish shine in the T-zone area for a noticeably clearer complexion. ,,https://www.sephora.com/product/dermask-micro-jet-clearing-solution-P397624?icid2=products%20grid:p397624:product
Dr. Jart+,Water Fuse Ultimate Hydro Gel,[' A gel-cream that creates a water cushion to keep skin hydrated and energized all day long.'],['- Dryness- Loss of firmness and elasticity- Dullness and uneven texture'], Water Fuse Ultimate Hydro Gel is an ultra-lightweight gel-cream that instantly cools and refreshes the skin while providing a boost of hydration. This formula contains a blend of AquaMinerals that help direct the water flow helping to maintain balanced moisture levels while improving water absorption to boost visible firmness and elasticity. Belgium hot spring water and natural barrier complex aids in expelling impurities from pores and provides both soothing and antibacterial benefits. The energizing cream keeps skin looking and feeling fresh and healthy.,,https://www.sephora.com/product/water-fuse-ultimate-hydro-gel-P419606?icid2=products%20grid:p419606:product
Dr. Jart+,Hydration Lover Rubber Mask,A hydrating two-step rubber mask that stimulates the delivery of actives into the skin while cooling for a radiant healthy-looking complexion.,['- Dryness- Redness and irritation- Dullness and uneven texture'], The two-step system includes a highly concentrated ampoule serum and a rubber mask that was developed to hydrate and soothe the skin for an instant pick-me-up. The hydrating rubber mask wraps the skin to prevent active ingredients from evaporating allowing for more complete penetration to visibly improve the appearance of fine lines and pores and make skin look supple and dewy. The rubber mask is derived from algae and lowers skin temperature to cool and calm. The lipophilic and hydrophilic actives cling to moisture in the skin to maximize benefits. Phyto Keratin Complex a botanical protein provides moisturizing benefits to improve water retention. Green Seaweed Extract rich in vitamin C and minerals maintains the balance of skin for a more hydrated and supple look.,,https://www.sephora.com/product/hydration-lover-rubber-mask-P418172?icid2=products%20grid:p418172:product
Dr. Jart+,Bright Lover Rubber Mask,['A brightening two-step rubber mask that facilitates the delivery of actives while providing cooling benefits.'],['- Dullness and uneven texture- Dark spots and uneven skintone- The appearance of scars'], This two-step system includes a highly concentrated ampoule serum and a rubber mask that was developed to brighten and correct uneven skintone. The rubber mask wraps the skin to prevent active ingredients from evaporating allowing for more thorough penetration to visibly improve the appearance of the skin's complexion. The rubber mask derived from algae reacts with calcium and lowers skin’s temperature to cool and calm. Lipophilic and hydrophilic actives cling to moisture in the skin to maximize benefits. A vitamin complex brightens and revitalizes the look of skin with vitamins A B C and E and support natural collagen synthesis.  Brown Seaweed featuring laminaria japonica and undaria pinnatifida extract improves the look of dullness for more radiant glowing skin.,,https://www.sephora.com/product/bright-lover-rubber-mask-P418171?icid2=products%20grid:p418171:product
Dr. Jart+,Dermaclear™ Micro Foam Cleanser,A hypoallergenic cleansing foam featuring hydrogen mineral water to gently remove impurities with fine dense micro bubbles.,[],[],,https://www.sephora.com/product/dermaclear-micro-foam-cleanser-P399339?icid2=products%20grid:p399339:product
Dr. Jart+,Shake & Shot™ Rubber Masks,A set of fun DIY rubbery modeling masks that infuse skin with potent actives to smooth for a healthy dewy-looking complexion.,['- Fine lines and wrinkles- Loss of firmness and elasticity- Dullness and uneven texture'],"Dr.Jart uses the same ""rubber mask"" technique found in high-end Korean spas to achieve equivalent high-performance results—without the fuss of mixing a traditional modeling pack. The innovative cream-to-sheet formula penetrates skin more deeply than a sheet mask to deliver high-potency active ingredients. Each freshly-made mask penetrates skin surface to deliver the benefits your skin needs most quickly and effectively. This collection contains:(Each sold separately)Shake &amp; Shot Rubber Hydro Mask: Moisturizes and revitalizes the complexion. The Hydro Mask ampoule contains a cocktail of Vitamin B5 (panthenol) and Expert Moist Complex rich in amino acids to help strengthen skin’s moisture barrier. Just shake it up and give skin a hydrating shot.Shake &amp; Shot Rubber Soothing Mask: Calms and repairs the complexion. The Soothing Mask ampoule contains Vitamin K3 (menadione) and a soothing botanical complex to calm irritated skin. Just shake it up and give sensitive skin a soothing shot.Shake &amp; Shot Rubber Brightening Mask: Brightens dull skin. The Brightening Mask ampoule contains Vitamin C (ascorbic acid) and sea buckthorn fruit extract rich in vitamins to even out skin tone brighten darkness and revitalize skin. Just shake it up and give skin a brightening shot.Shake &amp; Shot Rubber Firming Mask: Improves skin elasticity and firmness. The Firming Mask ampoule contains Vitamin A (retinol) and OxyForce™ Cellular Active to help boost collagen synthesis and enhance elasticity and firmness of sagging skin. Just shake it up and give skin a firming shot.",,https://www.sephora.com/product/shake-shot-rubber-masks-P428658?icid2=products%20grid:p428658:product
Dr. Jart+,Water Fuse Hydro Sleep Mask,[' A sleep mask that enhances skin’s moisture level and removes impurities overnight to restore optimal skin condition.'],['- Dryness- Loss of firmness and elasticity- Dullness and uneven texture'], Water Fuse Hydro Sleep Mask is an overnight mask that creates a protective barrier on your skin to lock in vital moisture and nutrients while you get your beauty sleep. This formula contains a blend of AquaMinerals which directs waterflow and helps maintain balanced moisture levels visibly boosting firmness and elasticity. Himalayan pink salt supports natural cell regeneration while Belgium hot spring water and natural barrier complex remove impurities from pores and provide soothing and antibacterial benefits. Aquaicia and oligo-HA hydrates to keep skin looking and feeling healthy and bright.,,https://www.sephora.com/product/water-fuse-hydro-sleep-mask-P421004?icid2=products%20grid:p421004:product
Dr. Jart+,Clear Skin Lover Rubber Mask,['A clearing two-step rubber mask derived from algae that delivers actives while providing cooling benefits.'],['- Pores- Blemishes- Oiliness'], This two-step system includes a highly concentrated ampoule serum and a rubber mask that was developed to fight breakouts and soothe stressed skin. The clearing rubber mask wraps the skin to prevent active ingredients from evaporating allowing for deeper penetration to improve the appearance of pores while diminishing shine. The rubber mask derived from algae reacts with calcuim to cool and calm the skin as the lipophilic and hydrophilic actives cling to moisture in the skin to maximize benefits. Pore Clear Complex purifies the pores providing a refreshing feeling. A multi-seaweed complex featuring gelidium cartilagineum extract and laminaria japonica extract leaves skin smooth and healthy looking.,,https://www.sephora.com/product/clear-skin-lover-rubber-mask-P418169?icid2=products%20grid:p418169:product
Dr. Jart+,Dermask™ Foot Smoothing Mask,An innovative ultra-softening warming mask for feet inspired by professional salon techniques.,['- Dryness '],This innovative foil mask for feet uses warming thermotherapy technology to infuse skin with a moisturizing essence to alleviate dry rough skin. It begins to warm up in 10 seconds for super smooth amazingly soft feet in as little as 20 minutes.,,https://www.sephora.com/product/dermask-foot-smoothing-mask-P436642?icid2=products%20grid:p436642:product
Dr. Jart+,Ceramidin™ Facial Mask,An ultra-moisturizing hypo-allergenic sheet mask that is made of natural fibers infused with skin soothing ingredients.,['- Dryness- Dullness and uneven texture'],Now supercharged with 5-cera complex this ultra-moisturizing hypo-allergenic sheet mask is made of natural fibers that infuse skin with soothing moisture. It’s the ideal dry skin SOS as it imparts and seals critical moisture to visibly improve skin’s texture smoothness and appearance. This mask is for normal dry and very dry skin experiencing dryness itchiness roughness and discomfort.,,https://www.sephora.com/product/ceramidin-tm-facial-mask-P434362?icid2=products%20grid:p434362:product
Dr. Jart+,Dermask Water Jet Soothing Hydra Solution™,['A cellulose sheet mask that soothes and calms sensitive skin caused by dehydration.'],['- Dryness- Redness- Blemishes'], Dermask Water Jet Soothing Hydra Solution™ is made with fine cellulose fiber to help active ingredients provide ultimate hydration. It contains aquaxyl and xylitol to enhance moisture retention and support the skin's barrier by preventing water loss. Aloe vera and phytonicdes provide cooling relief to soothe redness blemishes and sun burns while the formula removes impurities to keep skin looking and feeling calm and refreshed.,,https://www.sephora.com/product/dermask-water-jet-soothing-hydra-solution-P397622?icid2=products%20grid:p397622:product
Dr. Jart+,Brightening Infusion Hydrogel Mask,['A gel-textured sheet mask to maximize the penetration of active ingredients for brighter-looking skin.'],['- Dullness and uneven texture- Dark spots- Acne and blemishes'],The Brightening Infusion Hydrogel Mask contains galactomyces vitamin C and licorice extract to moisturize and brighten the skin complexion. It reduces the appearance of dark circles dullness dark spots and uneven skintone while immediately cooling the skin upon application leaving the skin feeling clean hydrated and completely refreshed.,,https://www.sephora.com/product/brightening-infusion-hydrogel-mask-P391364?icid2=products%20grid:p391364:product
Dr. Jart+,Cicapair™ Tiger Grass Nightly Re.Pair Mask,['An overnight mask that soothes redness and irritation to calm damaged skin. '],['- Redness- Loss of firmness and elasticity- Acne and blemishes'],[],,https://www.sephora.com/product/tiger-grass-nightly-re-pair-mask-P423413?icid2=products%20grid:p423413:product
Dr. Jart+,Dermaclear™ Trans-Foam Clay Trio,A trio of triple functioning wash-off clay masks that transform into a foaming cleanser upon application of water each providing different skin care benefits while removing excess oil cleaning pores and exfoliating skin.,[],[],,https://www.sephora.com/product/dermaclear-trans-foam-clay-trio-P399220?icid2=products%20grid:p399220:product
Dr. Jart+,Dermask™ Hand Hydrating Mask,An innovative ultra-softening warming mask for hands that is inspired by professional salon techniques.,['- Dryness'], This innovative foil mask for hands was inspired by professional salon techniques. Warming thermotherapy technology infuses skin with a moisturizing essence to alleviate dry rough skin. It begins to warm up in 10 seconds. See super smooth amazingly soft hands in as little as 20 minutes. ,,https://www.sephora.com/product/dermask-hand-hydrating-mask-P436643?icid2=products%20grid:p436643:product
Dr. Jart+,Firm Lover Rubber Mask,['A firming two-step rubber mask that delivers actives into the skin while providing cooling benefits for a visibly more defined and contoured complexion.'],['- Loss of firmness and elasticity- Fine lines and wrinkles- Dryness'], This two-step system includes a highly concentrated ampoule of serum and a rubber mask that was developed to visibly lift and contour the skin. The firming rubber mask wraps the skin to prevent active ingredients from evaporating allowing for deeper penetration to support natural elasticity and the appearance of firmer skin. The rubber mask derived from algae reacts with calcium to cool and calm the skin. The lipophilic and hydrophilic actives cling to moisture to maximize benefits. The formula contains berry complex featuring salicylic acid to support the appearance of firmer skin and red seaweed to help maintain moisture for a more supple-looking complexion. ,,https://www.sephora.com/product/firm-lover-rubber-mask-P418170?icid2=products%20grid:p418170:product
Dr. Jart+,Dermaclear™ Micro Makeup Remover Pads,A set of portable single-use wipes that cleanse the skin using a milk emulsion to entrap and lift impurities away from the skin.,['- Dryness- Dullness and uneven texture'], This hypoallergenic milk-type mild emulsion texture and soft microfiber pad enables powerful makeup cleansing that is safe to use around the eyes and lips. Active hydrogen water and coconut milk deeply penetrates the skin to remove impurities while replenishing moisture for a fresh-feeling complexion. Individually packaged to be conveniently carried that you can easily cleanse makeup anywhere anytime skin will be left purified soft and healthy-looking. ,,https://www.sephora.com/product/dermaclear-micro-makeup-remover-pads-P416584?icid2=products%20grid:p416584:product
Dr. Jart+,Dermask Ultra Jet Porecting Solution Bubbling Charcoal Sheet Mask,A fun innovative bubbling mask to cleanse eliminate impurities purify and tighten enlarged pores.,['- Pores- Oiliness'], Get fresh clear glowing skin with this fun innovative bubbling mask from Dr. Jart. The mask deeply cleanses and purifies pores. An effervescent oxygen bubble effect flushes and eliminates skin impurities as it tightens and corrects the appearance of enlarged pores. Dermask Ultrajet Porecting Solution combines cutting-edge essence and sheet technologies to effectively purify and detoxify skin. The charcoal sheet wraps skin for a detoxifying and purifying effect. Saponine from the soapberry tree delivers a visible bubbling oxygen action that penetrates pores as Deep Pore Care Complex tightens the look of enlarged pores. A Surface Pore Care Complex helps controls excess oil.,,https://www.sephora.com/product/dermask-ultra-jet-porecting-solution-bubbling-charcoal-sheet-mask-P431729?icid2=products%20grid:p431729:product
Dr. Jart+,All That Contours Hydrogel Expansion Stretch Mask,['A hydrogel mask that contours the face to increase the look of elasticity and create a lifted appearance.'],['- Fine lines and wrinkles- Loss of firmness and elasticity- Pores'], All That Contours Hydrogel Expansion Stretch Mask perfectly fits your facial contours to give your face a lifted appearance. It contains caffeine safflower acid and aloe leaf juice to reduce the appearance of wrinkles large pores and sagging.,,https://www.sephora.com/product/all-that-contours-hydrogel-expansion-stretch-mask-P392307?icid2=products%20grid:p392307:product
Dr. Jart+,Pore Master Patch, A two-step blackhead nose treatment that deeply cleanses skin and unclog pores removing blackheads impurities and excess oil.,['- Acne and blemishes- Pores- Oiliness'], Pore Master Patch is a powerful yet gentle nose patch that instantly removes blackheads.  It’s formulated with coral powder sage extract and tea tree extract to draw out impurities and excess oil like a magnet leaving skin looking and feeling clean and completely refreshed.,,https://www.sephora.com/product/pore-master-patch-P386839?icid2=products%20grid:p386839:product
