Brand,Product,What it is,what is product used for,If you want to know more,Ingredients,Item Link
FENTY BEAUTY by Rihanna,Stunna Lip Paint Longwear Fluid Lip Color,[],[],[],"['Isododecane, Dimethicone, Trimethylsiloxysilicate, Hydrogenated Polycyclopentadiene, Disteardimonium Hectorite, Propylene Carbonate, Triethoxycaprylylsilane, Aluminum Hydroxide, Iron Oxides (Ci 77499, Ci 77492), Titanium Dioxide (Ci 77891), Red 7 (Ci 15850).']",https://www.sephora.com/product/stunna-lip-paint-P39787544?icid2=you%20may%20also%20like:p39787544:product
Too Faced,Better Than Sex Mascara,[],[],[],,https://www.sephora.com/product/better-than-sex-mascara-P381000?icid2=you%20may%20also%20like:p381000:product
HUDA BEAUTY,Obsessions Eyeshadow Palette – Precious Stones Collection,[],[],[],,https://www.sephora.com/product/obsessions-gemstone-eyeshadow-palette-P45188659?icid2=you%20may%20also%20like:p45188659:product
SEPHORA COLLECTION,Cleansing & Exfoliating Wipes, A collection of cleansing and makeup-removing wipes each with a skin-refreshing benefit.,[],[],"-Coconut Water Extract.,,Water, Caprylic/Capric Triglyceride, Fragrance, Phenoxyethanol, Glycerin, Benzyl Alcohol, Ethylhexylglycerin, Glyceryl Stearate, Sodium Lauroyl Lactylate, Lauryl Glucoside, Cocos Nucifera (Coconut) Fruit Juice, Cetearyl Alcohol, Sodium Stearoyl Lactylate, Sodium Hydroxide, Limonene, Tocopherol, Citric Acid, Sodium Benzoate, Potassium Sorbate.",https://www.sephora.com/product/cleansing-exfoliating-wipes-P409800?icid2=you%20may%20also%20like:p409800:product
Kat Von D,Liner X,[],[],[],,https://www.sephora.com/product/liner-x-P438181?icid2=you%20may%20also%20like:p438181:product
FENTY BEAUTY by Rihanna,Diamond Bomb All-Over Diamond Veil,[],[],[],,https://www.sephora.com/product/diamond-bomb-all-over-diamond-veil-P85225585?icid2=bestsellers:p85225585:product
Giorgio Armani Beauty,Luminous Silk Foundation,[],[],[],['-Micro-Fil Technology: Provides a translucent radiance and flawless finish.'],https://www.sephora.com/product/luminous-silk-foundation-P393401?icid2=bestsellers:p393401:product
Estée Lauder,Double Wear Stay-in-Place Foundation,[],[],[],,https://www.sephora.com/product/double-wear-stay-in-place-makeup-P378284?icid2=bestsellers:p378284:product
beautyblender,the original beautyblender® ,[],[],[],['Non-latex foam.'],https://www.sephora.com/product/beautyblender-P228913?icid2=bestsellers:p228913:product
Lancôme,Teint Idole Ultra Long Wear Foundation,[],[],[],"- Eternalsoft Polymer: Increases comfort level with ultralasting wear.,- NAI Pigments: Specially-coated pigments maintain consistent pH level with skin, so color stays true all day.,- Perlite and Silica: Absorb oil effectively.,,Water, Cyclopentasiloxane, Polypropysilsequioxane, Isododecane, Dimethicone, C30-45 Alkyldimethylsilyl, Polypropylsilsequioxane Silica, Glycerin, Peg-10 Dimethicone, Dimethicone/Polyglycerinej-3 Crosspolymer, Sodium Chloride, Nylon-12, Paraffin, Cyclomethione, Aluminum Hydroxide, Disodium Edta, Disodium Stearoyl Glutamate, Dipropylene Glycol, Disteardimonium Hectorite, Acrylates Copolymer, Phenoxyethanol Chlorphenesin, Ethylparaben, [+/- May Contain CI 77007 / Ultramarines, CI 77491, CI 77492, CI 77499 / Iron Oxides, CI 77891 / Titanium Dioxide].",https://www.sephora.com/product/teint-idole-ultra-24h-long-wear-foundation-P308201?icid2=bestsellers:p308201:product
Kat Von D,Lock-It Foundation,[],[],[],"-Optical Diffusers: Treated pigments visually minimize the appearance of fine lines and wrinkles while increasing luminosity on the skin.,-Emollients: Impart excellent slip and playtime; ensure softness.,-Glycerin: Extremely hydrating.,-Siliconic Elastomers: Long-lasting esters with emollient properties; provide dry, semi-matte finish.,-Mattifying Powders: Texturing agent; increase powder effect and absorption properties.,-Siliconic Ester: Provides no-transfer properties.,,Water, Dimethicone, Phenyl Trimethicone, Trimethylsiloxysilicate, Aluminum Starch Octenylsuccinate, Polysilicone-11, Butylene Glycol, Isononyl Isononanoate, Silica Dimethicone Silylate, Dimer Dilinoleyl Dimer Dilinoleate, Dimethicone Crosspolymer, Glycerin, Isododecane, Sodium Chloride, Methicone, Glyceryl Caprylate, Calcium Carbonate, Sorbitan Sesquioleate, Trihydroxystearin, Potassium Sorbate, Methylpropanediol, Caprylhydroxamic Acid, Disodium Edta, Peg/Ppg-18/18 Dimethicone. May Contain (+/-):CI 77891 (Titanium Dioxide), CI 77492 (Iron Oxide), CI 77491 (Iron Oxide), CI 77499 (Iron Oxide).",https://www.sephora.com/product/lock-it-tattoo-foundation-P311138?icid2=bestsellers:p311138:product
NARS,Blush,[],[],[],,https://www.sephora.com/product/blush-P2855?icid2=bestsellers:p2855:product
Tatcha,The Water Cream,An oil-free anti-aging water cream that releases a burst of skin-improving Japanese nutrients powerful botanicals and optimal hydration for poreless-looking skin.,['- Dryness- Pores- Dullness and uneven texture'],[],"-Japanese Wild Rose: Supports natural circulation, balances skin, and improves the look of pores.,-Japanese Leopard Lily: Reduces oil production, calms problem skin, and supports natural turnover of the skin.,-Tatcha's Signature Hadasei-3: Restores a healthy-looking, youthful radiance with nourishing green tea, rice, and algae.,,Water, Saccharomyces/Camellia Sinensis Leaf/Cladosiphon Okamuranus/Rice Ferment Filtrate*, Dimethicone, Propanediol, Glycerin, Diglycerin, Diphenylsiloxy Phenyl Trimethicone, Gold, Belamcanda Chinensis Root Extract, Rosa Multiflora Fruit Extract, Houttuynia Cordata Extract, Sophora Angustifolia Root Extract, Sodium Hyaluronate, Lecithin, Pistacia Lentiscus (Mastic) Gum, Sodium Chloride, Sodium Citrate, Mica, Peg-9 Polydimethylsiloxyethyl Dimethicone, Dimethicone/Peg-10/15 Crosspolymer, Dimethicone/Phenyl Vinyl Dimethicone Crosspolymer, Disodium Edta, Tin Oxide, Titanium Dioxide, Butylene Glycol, Ethylhexylglycerin, Parfum/Fragrance, Alcohol, Phenoxyethanol. *Hadasei-3.",https://www.sephora.com/product/the-water-cream-P418218?icid2=bestsellers:p418218:product
stila,Stay All Day® Waterproof Liquid Eye Liner,[],[],[],,https://www.sephora.com/product/stay-all-day-waterproof-liquid-eye-liner-P253818?icid2=bestsellers:p253818:product
Urban Decay,Naked Cherry Eyeshadow Palette,[],[],[],,https://www.sephora.com/product/naked-cherry-eyeshadow-palette-P437427?icid2=bestsellers:p437427:product
Anastasia Beverly Hills,DIPBROW™ Pomade,[],[],[],"['Cyclopentasiloxane, Isododecane, Cyclohexasiloxane, Silica, Polyethylene, Trimethylsiloxysilicate, Ozokerite/Synthetic Wax, Bis-Diglyceryl Polyacyladipate-2, Silica Dimethyl Silylate, Mica, Tocopheryl Acetate, Caprylyl Glycol, Ethylhexylglycerin, Propylparaben, May Contain: (+/-) Iron Oxides (Ci 77491, Ci 77492, Ci 77499), Titanium Dioxide (Ci 77891), Bismuth Oxychloride (Ci 77163).']",https://www.sephora.com/product/dipbrow-pomade-P384060?icid2=bestsellers:p384060:product
Olaplex,Olaplex Hair Perfector No. 3,A concentrated treatment that strengthens the hair from within reducing breakage and improving its look and feel.Key benefits:- Addresses damaged and compromised hair- Strengthens and protects hair structure- Restores healthy appearance and texture,[], No. 3 Hair Perfector is not a conditioner it’s an at-home treatment that contains the same active ingredient found in all professional Olaplex products. Created by two of the top PhD's in chemistry and materials science Olaplex products feature first-of-their-kind patented bond-building technology which relinks the broken disulfide bonds caused by chemical thermal and mechanical damage to the hair. This formula is made to work with every hair type providing real structural repair that works from within. ,"-Bis-Aminopropyl Diglycol Dimaleate.,,Water, Bis-Aminopropyl Diglycol Dimaleate, Propylene Glycol, Cetearyl Alcohol, Ascorbic Acid (Vitamin C), Tocopheryl Acetate (Vitamin E), Prunus Amygdalus Dulcis (Sweet Almond) Oil, Aloe Barbadensis Leaf Juice, Phytantriol, Panthenol, Simmondsia Chinensis (Jojoba) Seed Oil, Behentrimonium Methosulfate, Cetyl Alcohol, Glycerin, Stearamidopropyl Dimethylamine, Hydroxyethyl Ethylcellulose, Quaternium-91, Cetrimonium Methosulfate, Cetrimonium Chloride, Fragrance, Polyquaternium-37, Tetrasodium EDTA, Magnesium Nitrate, Butylphenyl Methylpropional, Magnesium Chloride, Etidronic Acid, Potassium Sorbate, Phenoxyethanol, Citric Acid, Disodium EDTA, Sodium Benzoate.",https://www.sephora.com/product/olaplex-hair-perfector-no-3-P428224?icid2=bestsellers:p428224:product
Too Faced,Born This Way Super Coverage Multi-Use Sculpting Concealer,[],[],[],"['Water, Cyclopentasiloxane, Butylene Glycol Dicaprylate/Dicaprate, Triethylhexanoin, Isoamyl Laurate, Methyl Trimethicone, Pentylene Glycol, Polyglyceryl-4 Diisostearate/Polyhydroxystearate/ Sebacate, Hydrogenated Starch Hydrolysate, Cetyl PEG/PPG-10/1 Dimethicone, Trimethylsiloxysilicate; Silica, Perfluorooctyl Triethoxysilane, Aluminum Hydroxide, Hydroxyacetophenone, Sodium Chloride, Disteardimonium Hectorite, Dimethicone, Acrylates/Polytrimethylsiloxymethacrylate Copolymer, 1,2-Hexanediol, Caprylyl Glycol, Dimethicone/Vinyl Dimethicone Crosspolymer, Trisodium Ethylenediamine Disuccinate, Glycerin, Cocos Nucifera (Coconut) Water/Cocos Nucifera Water, Sodium Hyaluronate, Cocos Nucifera (Coconut) Fruit Juice/Cocos Nucifera Fruit Juice, Rhododendron Ferrugineum Extract, Potassium Sorbate, Sodium Benzoate, Titanium Dioxide (Ci 77891), Iron Oxides (Ci 77491, Ci 77492, Ci 77499).']",https://www.sephora.com/product/born-this-way-super-coverage-multi-use-sculpting-concealer-P432298?icid2=bestsellers:p432298:product
Anastasia Beverly Hills,Brow Definer,[],[],[],"['Behenic Acid, Mica, Rhus Succedanea Fruit Wax/Cera, Lanolin, Triethylhexanoin, Sucrose Tetrastearate Triacetate, Hydrogenated Castor Oil, Sorbitan Sesquiisostearate, Hydrogen Dimethicone, Caprylyl Glycol, Hexylene Glycol, Phenoxyethanol, Tocopherol, May Contain/Peut Contenir: (+/-) Iron Oxides (Ci 77491, Ci 77492, Ci 77499), Titanium Dioxide (Ci 77891), Ferric Ferrocyanide (Ci 77510).']",https://www.sephora.com/product/brow-definer-P404827?icid2=bestsellers:p404827:product
Too Faced,Gingerbread Spice Eye Shadow Palette,[],[],[],,https://www.sephora.com/product/gingerbread-spice-eye-shadow-palette-P435953?icid2=bestsellers:p435953:product
