Brand,Product Name,pH,Ingredients,Image Link,Item Link
Glossier,Milky Jelly Cleanser,4.5,"Water/Aqua/Eau, Rosa Damascena Flower Water, PEG-7 Glyceryl Cocoate, Propanediol, Isohexadecane, Poloxamer 184, Acrylamide/Sodium Acryloyldimethyltaurate Copolymer, Xylitylglucoside, Betaine, Allantoin, Glycerin, Panthenol, Symphytum Officinale Root Extract, Sodium Hyaluronate, Anhydroxylitol, Polysorbate 80, Xylitol, Ammonium Polyacryloyldimethyl Taurate, Isopropyl Myristate, Benzoic Acid, Ethylhexylglycerin, Sodium Hydroxide",https://product-image-uploads.s3-ca-central-1.amazonaws.com//milky_jelly_cleanser.png,https://reissue.co/product/glossier-milky-jelly-cleanser
The Ordinary,Glycolic Acid 7% Toning Solution,3.6,"Aqua (Water), Glycolic Acid, Rosa Damascena Flower Water, Centaurea Cyanus Flower Water, Aloe Barbadensis Leaf Water, Propanediol, Glycerin, Triethanolamine, Aminomethyl Propanol, Panax Ginseng Root Extract, Tasmannia Lanceolata Fruit/Leaf Extract, Aspartic Acid, Alanine, Glycine, Serine, Valine, Isoleucine, Proline, Threonine, Histidine, Phenylalanine, Glutamic Acid, Arginine, PCA, Sodium PCA, Sodium Lactate, Fructose, Glucose, Sucrose, Urea, Hexyl Nicotinate, Dextrin, Citric Acid, Polysorbate 20, Gellan Gum, Trisodium Ethylenediamine Disuccinate, Sodium Chloride, Hexylene Glycol, Potassium Sorbate, Sodium Benzoate, 1,2-Hexanediol, Caprylyl Glycol.",https://product-image-uploads.s3-ca-central-1.amazonaws.com//rdn-glycolic-acid-7pct-toning-solution-240ml.png,https://reissue.co/product/the-ordinary-glycolic-acid-7--toning-solution
Herbivore,Blue Tansy Resurfacing Clarity Mask,N/A,"Aloe Barbadensis (Organic Aloe) Leaf Juice, Hydroxyethyl Ethylcellulose (Plant Derived), Glycerin, Glyceryl Caprylate, Salix Nigra (Willow) Bark Extract, Tanacetum Annuum (Blue Tansy) Flower Oil, Ananas Sativus (Organic Pineapple) Fruit Extract, Carica Papaya (Organic Papaya) Fruit Extract, Carica Papaya (Organic Papaya) Leaf Extract, Jasminum Sambac (Jasmine) Flower Oil, Leuconostoc / (Leucidal) Radish Root Ferment Filtrate",https://product-image-uploads.s3-ca-central-1.amazonaws.com//bluetansy.png,https://reissue.co/product/herbivore-blue-tansy-resurfacing-clarity-mask
Hada Labo,Goku-jyun Premium Hyaluronic Acid Lotion,N/A,"Water, Butylene Glycol, Glycerin, PPG-10 Methyl Glucose Ether, Hydroxyethyl Urea, Sodium Acetyl Hyaluronate, Sodium Hyaluronate, Hydrolyzed Sodium Hyaluronate (Nano Hyaluronic Acid), Hydroypropyltrimonium Hyaluronate, Sodium Hyaluronate Crosspolymer (3d Hyaluronic Acid), Aphanothece Sacrum (Sacran) Exopolysaccharides, Hydrogenated Starch Hydrolysate, Glycosyl Trehalose, Diglycerin, Sorbitol, Pentylene Glycol, Triethyl Citrate, Carbomer, Polyquaternium-51, PEG-32, PEG-75, Ammonium Acrylates Copolymer, Disodium EDTA, Potassium Hydroxide, Diethoxyethyl Succinate, Disodium Succinate, Succinic Acid, Phenoxyethanol, Methylparaben",https://product-image-uploads.s3-ca-central-1.amazonaws.com//gokujyun_PremiumLotion.png,https://reissue.co/product/hada-labo-goku-jyun-premium-hyaluronic-acid-lotion
Laneige,Lip Sleeping Mask,N/A,"Diisostearyl Malate, Hydrogenated Polyisobutene, Phytosteryl / Isostearyl / Cetyl / Stearyl / Behenyl Dimer Dilinoleate, Hydrogenated Poly(C6-14 Olefin), Polybutene, Microcrystalline Wax / Cera Microcristallina / Cire Microcristalline, Butyrospermum Parkii (Shea) Butter, Synthetic Wax, Euphorbia Cerifera (Candelilla) Wax / Candelilla Cera / Cire de Candelilla, Sucrose Tetrastearate Triacetate, Butylene / Ethylene / Styrene Copolymer, Ethylene / Propylene / Styrene Copolymer, Mica (CI 77019), Astrocaryum Murumuru Seed Butter, Titanium Dioxide (CI 77891), Dimethicone, Fragrance / Parfum, Polyglyceryl-2 Diisostearate, Dehydroacetic Acid, Methicone, Copernicia Cerifera (Carnauba) Wax / Cera Carnauba / Cire de Carnauba, Polyglyceryl-2 Triisostearate, Yellow 6 Lake (CI 15985), Red 6 (CI 15850), Polyhydroxystearic Acid, Water, Potassium Alginate, Propanediol, Glycerin, Alcohol, Lycium Chinense Fruit Extract, Vaccinium Macrocarpon (Cranberry) Fruit Extract, Fragaria Chiloensis (Strawberry) Fruit Extract, Rubus Idaeus (Raspberry) Fruit Extract, Sapindus Mukorossi Fruit Extract, Vaccinium Angustifolium (Blueberry) Fruit Extract, Rubus Chamaemorus Seed Extract, Coffea Arabica (Coffee) Seed Extract, Chenopodium Quinoa Seed Extract, Magnesium Sulfate, Calcium Chloride, Sodium Hyaluronate, Beta-Glucan, Manganese Sulfate, Zinc Sulfate, Ascorbyl Glucoside.",https://product-image-uploads.s3-ca-central-1.amazonaws.com//lip_sleeping_mask.png,https://reissue.co/product/laneige-lip-sleeping-mask
COSRX,Salicylic Acid Daily Gentle Cleanser,N/A,"Water, Glycerin, Myristic Acid, Stearic Acid, Potassium Hydroxide, Lauric Acid, Butylene Glycol, Glycol Distearate, Polysorbate 80, Sodium Methyl Cocoyl Taurate, Salicylic Acid, Cocamidopropyl Betaine, PEG-60 Hydrogenated Castor Oil, Fragrance, Sodium Chloride, Melaleuca Alternigolia (Tea Tree) Leaf Oil, Caprylyl Glycol, Ethylhexylglycerin, Salix Alba (Willow) Bark Water, Saccharomyces Ferment, Cryptomeria Japonica Leaf Extract, Nelumbo Nucifera Leaf Extract, Pinus Palustris Leaf Extract, Ulmus Davidiana Root Extract, Oenothera Biennis (Evening Primrose) Flower Extract, Pueraria Lobata Root Extract, 1,2-Hexanediol, Ethyl Hexanediol, Citric Acid, Disodium EDTA",https://product-image-uploads.s3-ca-central-1.amazonaws.com//SalicylicAcidGentleCleanser_COSRX.png,https://reissue.co/product/cosrx-salicylic-acid-daily-gentle-cleanser
Bio-Oil,Bio-Oil,N/A,"Paraffinum Liquidum (Mineral Oil), Triisononanoin, Cetearyl Ethylhexanoate, Isopropyl Myristate, Retinyl Palmitate, Tocopheryl Acetate, Anthemis Nobilis Flower Oil, Lavandula Angustifolia (Lavender) Oil, Rosmarinus Officinalis (Rosemary) Leaf Oil, Calendula Officinalis Flower Extract, Helianthus Annuus (Sunflower) Seed Oil, Glycine Soja (Soybean) Oil, BHT, Bisabolol, Fragrance, Amyl Cinnamal, Benzyl Salicylate, Citronellol, Coumarin, Eugenol, Geraniol, Hydroxycitronellal, Hydroxyisohexyl 3-Cyclohexene Carboxaldehyde, Limonene, Linalool, Alpha-Isomethyl Ionone, Red 17.",https://product-image-uploads.s3-ca-central-1.amazonaws.com//Bio_oil.png,https://reissue.co/product/-bio-oil--bio-oil
Nature Republic,Soothing & Moisture Aloe Vera 92% Soothing Gel,N/A,"Aloe Vera Leaf Extract (92%), Ethanol, Glyceryl Polyacrylate, Dipropylene Glycol, Butyleneglycol, Glycerin, Propylene Glycol, 1,2-Hexanediol, Polyglutamic Acid, Betaine, Sodium Hyaluronate, Karen Dulcis Extract, Spearmint Extract, Lemon Balm Extract, Carbomer, PEG-60 Hydrogenated Castor Oil, Triethanolamine, Phenoxyethanol, Purified Water, Disodium EDTA",https://product-image-uploads.s3-ca-central-1.amazonaws.com//skin-soothing-and-moisture-aloe-vera-92-soothing-gel-1_grande.png,https://reissue.co/product/nature-republic-soothing---moisture-aloe-vera-92--soothing-gel
Klairs,Freshly Juiced Vitamin Drop,3.5,"Water, Propylen Glycol, Ascorbic Acid(5%), Hydroxyethylcellulose, Centella Asiatica Extract, Citrus Junos Fruit Extract, Illicium Verum(Anise) Fruit Extract, Citrus Paradisi(Grapefruit) Fruit Extract, Nelumbium Speciosum Flower Extract, Paeonia Suffruticosa Root Extract, Scutellaria Baicalensis Root Extract, Polysorbate 60, Brassica Oleracea Italica (Broccoli) Extract, Chaenomeles Sinensis Fruit Extract, Orange Oil Brazil, Sodium Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, Disodium EDTA, Lavandula Angustifolia (Lavender) Oil, Camellia Sinensis Callus Culture Extract, Larix Europaea Wood Extract, Chrysanthellum Indicum Extract, Rheum Palmatum Root Extract, Asarum Sieboldi Root Extract, Quercus Mongolia Leaf Extract, Persicaria Hydropiper Extract, Corydalis Turtschaninovii Root Extract, Coptis Chinensis Root Extract, Magnolia Obovata Bark Extract, Lysine HCL, Proline, Sodium Ascorbyl Phosphate, Acetyl Methionine, Theanine, Lecithin, Acetyl Glutamine, SH-Olgopeptide-1, SH-Olgopeptide-2, SH-Polypeptide-1, SH-Polypeptide-9, SH-Polypeptide-11, Bacillus/Soybean/Folic Acid Ferment Extract, Sodium Hyaluronate, Caprylyl Glycol, Butylene Glycol, 1,2-Hexanediol",https://product-image-uploads.s3-ca-central-1.amazonaws.com//vitaminc_drop.png,https://reissue.co/product/klairs-freshly-juiced-vitamin-drop
The Ordinary,Alpha Arbutin 2% + HA,4.85,"Aqua (Water), Alpha-Arbutin, Polyacrylate Crosspolymer-6, Hydrolyzed Sodium Hyaluronate, Propanediol, PPG-26-Buteth-26, PEG-40 Hydrogenated Castor Oil, Lactic Acid, Trisodium Ethylenediamine Disuccinate, Ethoxydiglycol, Phenoxyethanol, Chlorphenesin.",https://product-image-uploads.s3-ca-central-1.amazonaws.com//rdn-alpha-arbutin-2pct-ha-30ml.png,https://reissue.co/product/the-ordinary-alpha-arbutin-2----ha
