Brand,Product Name,Ingredients,Image Link,URL Link
MISSHA,Mild Essence Sun Milk SPF 50/PA+++,"Helichrysum Arenarium Extract, Alcohol Denat., Ethylhexyl Methoxycinnamate, Octocrylene, Ethylhexyl Salicylate, Butylene Glycol, Butyl Methoxydibenzoylmethane, Methyl Methacrylate Crosspolymer, Silica, Althaea Rosea Root Extract, Bis-Ethylhexyloxyphenol Methoxyphenyl Triazine, Rosa Davurica Bud Extract, Portulaca Oleracea Extract, Nelumbo Nucifera Flower Extract, Aloe Barbadensis Leaf Extract, Abronia Villosa Leaf Extract, Cinchona Succirubra Bark Extract, Rhodiola Rosea Root Extract, Psidium Guajava Leaf Extract, Limonia Acidissima Extract, Camellia Sinensis Leaf Extract, Pueraria Lobata Root Extract, Diospyros Kaki Leaf Extract, Morus Alba Fruit Extract, Artemisia princeps Leaf Extract, Cinnamomum Cassia Bark Extract, Chrysanthemum Indicum Flower Extract, Camellia Japonica Flower Extract, Prunus Mume Flower Extract, Calendula officinalis flower water, Pelargonium Graveolens Flower Water, Salvia Officinalis (Sage) Water, Dimethicone, Nylon-12, Acrylates/C10-30 Alkyl Acrylate Crosspolymer,. BHT, Sodium Hydroxide, Betaine, Caprylyl Methicone, Methoxy PEG/PPG-25/4 Dimethicone, Bis- PEG/PPG-20/5 PEG/PPG- 20/5 Dimethicone, Caprylic/Capric Triglyceride, Disodium EDTA, Caprylyl Glycol, Ethylhexylglycerin, 1,2-Hexanediol, Fragrance",https://cdn.shopify.com/s/files/1/0249/1218/products/Missha-All-Around-Safe-Block-Essence-Sun-Milk-70ml_1024x1024.jpg?v=1496137808,https://sokoglam.com/products/missha-mild-essence-sun-milk
NEOGEN,Bio-Peel Gauze Peeling Wine,"Water, Disodium EDTA, Glycerin, Butylene Glycol, PEG/PPG-17/6 Copolymer, Tromethamine, Benzophenone-5, Wine Extract, Sodium Hyaluronate, Vitis Vinifera (Grape) Seed, Rubus Fruticosus (Blackberry) Fruit Extract, Rubus Idaeus (Raspberry) Fruit Extract, Vaccinium Angustifolium (Blueberry) Fruit Extract, Tartaric Acid, Glycolic Acid, Lactic Acid, Coptis Chinensis Root Extract, CI 15985, CI 17200, CI 42090, Alcohol Denat., PEG-60 Hydrogenated Castor Oil, Ethylhexylglycerin, Phenoxyethanol, Fragrance, Carbomer",https://cdn.shopify.com/s/files/1/0249/1218/products/Neogen-Bio-Peel-Gauze-Peeling-Wine-1_1024x1024.jpg?v=1496137672,https://sokoglam.com/products/neogen-bio-peel-gauze-peeling-wine
MAMONDE,Hydrating Beauty Water,"WATER, BUTYLENE GLYCOL, ROSE EXTRACT, PHENOXYETHANOL, PEG-60 HYDROGENATED CASTOR OIL, POLYACRYLIC ACID, TROMETHAMINE, ETHYLHEXYLGLYCERIN, DISODIUM EDTA, FRAGRANCE, GLYCERIN, NELUMBO NUCIFERA FLOWER EXTRACT, PRUNUS MUME FRUIT EXTRACT, TOCOPHEROL, LACTIC ACID, CITRIC ACID",https://cdn.shopify.com/s/files/1/0249/1218/products/DSC01803_1024x1024.jpg?v=1531164402,https://sokoglam.com/products/mamonde-hydrating-beauty-water
MISSHA,Super Aqua Cell Renew Snail Cream,"Snail Secretion Filtrate, Dimethicone, Glycerin, Alcohol, Adansonia Digitata Seed Extract, Arbutin, Bis-PEG-18 Methyl Ether Dimethyl Silane, PEG-11 Methyl Ether Dimethicone, Sea Water, Ethylhexyl Isononanoate, Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, Portulaca Oleracea Extract, Carbomer, Triethanolamine, PEG-40 Hydrogenated Castor Oil, PPG-26-Buteth-26, Caprylyl Glycol, Fragrance, Ethylhexylglycerin, Tocopheryl Acetate, Adenosine, Disodium EDTA, Centella Asiatica Meristem Cell Culture, Xanthan Gum",https://cdn.shopify.com/s/files/1/0249/1218/products/Missha_Super_Aqua_Snail_Cream_1_1024x1024.jpg?v=1540311386,https://sokoglam.com/products/missha-super-aqua-cell-renew-snail-cream
BANILA CO,Clean It Zero Cleansing Balm Purifying,"Cetyl Ethylhexanoate Caprylic/Capric Triglyceride, PEG-20 Glyceryl Triisostearate, PEG-10 Isostearate, Synthetic Wax, Water, Phenoxyethanol, Butylene Glyco, Fragrance, Tocopheryl Acetate, Oenothera Biennis (Evening Primrose) Oil, Argania Spinosa Kernel Oil, Ethylhexylglycerin, Anthemis nobilis flower water, Glycerin, Centella Asiatica Extract, Epilobium Angustifolium Flower/Leaf/Stem Extract, Scutellaria Baicalensis Root Extract, Polygonum Cuspidatum Root Extract, Glycyrrhiza Glabra (Licorice) Root Extract, Camellia Sinensis Leaf Extract, 1,2-Hexanediol, Citric Acid, Rosmarinus Officinalis (Rosemary) Leaf Extract, Chamomilla Recutita (Matricaria) Flower Extract, Calendula Officinalis Flower Extract, Portulaca Oleracea Extract, Althaea Rosea Flower Extract, Aloe Barbadensis Leaf Extract, Sodium Benzoate Bambusa Vulgaris Leaf/Stem Extract, Aspalathus Linearis Extract, Angelica Archangelica Root Extract, Malpighia Glabra (Acerola) Fruit Extract, Potassium Sorbate, Sodium Metabisulfite, Zea Mays (Corn) Oil, Beta-Carotene, Polydiethyleneglycol Adipate/IPDI Copolymer, Acrylates/Ammonium Methacrylate Copolymer, Acrylates/Methoxy PEG-15 Methacrylate Copolymer, Tocopherol",https://cdn.shopify.com/s/files/1/0249/1218/products/banila-co-clean-it-zero-purifying_1024x1024.jpg?v=1527620038,https://sokoglam.com/products/banila-co-clean-it-zero-purity
MISSHA,First Treatment Essence Mist,50 ML,https://cdn.shopify.com/s/files/1/0249/1218/products/DSC09532_1024x1024.jpg?v=1530120677,https://sokoglam.com/products/missha-time-revolution-first-treatment-essence-mist
SKINFOOD,Black Sugar Wash-Off Face Mask,"Sucrose, Peg-7 Glyceryl Cocoate, Glycerin, Euphorbia Cerifera (Candelilla) Wax, Macadamia Ternifolia Seed Oil, Caprylic/Capric Triglyceride, Cetyl Ethylhexanoate, Lanolin, Stearalkonium Hectorite, Butyrospermum Parkii (Shea) Butter, Limnanthes Alba (Meadowfoam) Seed Oil, Caramel, Sorbitan Laurate, Tocopheryl Acetate, Ethylhexylglycerin, Water, Fragrance",https://cdn.shopify.com/s/files/1/0249/1218/products/DSC02279_1024x1024.jpg?v=1531771914,https://sokoglam.com/products/skinfood-black-sugar-mask-wash-off
NEOGEN,Real Ferment Micro Essence,"Bifida Ferment Lysate, Saccharomyces Ferment Filtrate, Betula Alba Juice, Rice Ferment Filtrate (Sake), Aspergillus Ferment, Glycerin, Dipropylene Glycol, Methyl Gluceth-20, Water, Betaine, Camellia Sinensis Leaf Extract Ethylhexylglycerin, Trehalose, Lactobacillus, PEG-60 Hydrogenated Castor Oil, Caprylyl Glycol, Trideceth-10, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Tromethamine, 1,2-Hexanediol, Tropolone, Allantoin, Butylene Glycol, Coptis Japonica Extract, Arginine, Hydroxypropyl, Methylcellulose, Hydrogenated Lecithin, Calcium, Carbonate, Sodium Hyaluronate, Adenosine, Niacinamide, Dextrin, Glycine, Serine, Glutamic Acid, Aspartic Acid, Leucine, Alanine, Lysine, Tyrosine, Phenylalanine, Proline, Threonine, Valine, Isoleucine, Phenoxyethanol, Histidine, Methionine, Cysteine",https://cdn.shopify.com/s/files/1/0249/1218/products/Neogen_Real_Ferment_Micro_Essence_Repackage_PDP_1024x1024.jpg?v=1542893133,https://sokoglam.com/products/neogen-real-ferment-micro-essence
KLAIRS,Supple Preparation Facial Toner,"Water, Butylene Glycol, Dimethyl Sulfone, Betaine, Caprylic/Capric Triglyceride, Natto Gum, Sodium Hyaluronate, Disodium EDTA, Centella Asiatica Extract, Glycyrrhiza Glabra (Licorice) Root Extract, Polyquaternium-51, Chlorphenesin, Tocopheryl Acetate, Carbomer, Panthenol, Arginine, Luffa Cylindrica Fruit/Leaf/Stem Extract, Beta-Glucan, Althaea Rosea Flower Extract, Aloe Barbadensis Leaf Extract, Hydroxyethylcellulose, Portulaca Oleracea Extract, Lysine HCL, Proline, Sodium Ascorbyl Phosphate, Acetyl Methionine, Theanine, Lavandula Angustifolia (Lavender) Oil, Eucalyptus Globulus Leaf Oil, Pelargonium Graveolens Flower Oil, Citrus Limon (Lemon) Peel Oil, Citrus Aurantium Dulcis (Orange) Peel Oil, Cananga Odorata Flower Oil, Copper Tripeptide-1",https://cdn.shopify.com/s/files/1/0249/1218/products/Klairs-Supple-Preparation-Facial-Toner_1024x1024.jpg?v=1496138082,https://sokoglam.com/products/klairs-supple-preparation-facial-toner-180ml
COSRX,Low-pH Good Morning Cleanser,"Water, Cocamidopropyl Betaine, Sodium Lauroyl Methyl Isethionate, Polysorbate 20, Styrax Japonicus Branch/Fruit/Leaf Extract, Butylene Glycol, Saccharomyces Ferment, Cryptomeria Japonica Leaf Extract, Nelumbo Nucifera Leaf Extract, Pinus Palustris Leaf Extract, Ulmus Davidiana Root Extract, Oenothera Biennis (Evening Primrose) Flower Extract, Pueraria Lobata Root Extract, Melaleuca Alternifolia (Tea Tree) Leaf Oil, Allantoin, Caprylyl Glycol, Ethylhexylglycerin, Betaine Salicylate, Citric Acid, Ethyl Hexanediol, 1,2-Hexanediol, Trisodium Ethylenediamine Disuccinate, Sodium Benzoate, Disodium EDTA",https://cdn.shopify.com/s/files/1/0249/1218/products/COSRX-Low-pH-Good-Morning-Gel-Cleanser-1_1024x1024.jpg?v=1496136975,https://sokoglam.com/products/cosrx-low-ph-good-morning-cleanser
MISSHA,Time Revolution Night Repair New Science Activator Ampoule,"WATER, BIFIDA FERMENT LYSATE, GLYCERETH-26, JUNIPERUS CHINENSIS XYLEM EXTRACT, SORBUS COMMIXTA EXTRACT, BIS-PEG-18 METHYL ETHER DIMETHYL SILANE, BUTYLENE GLYCOL, GLYCERIN, NIACINAMIDE, BETAINE, LEUCONOSTOC FERMENT FILTRATE, CYCLOPENTASILOXANE, ETHYL HEXANEDIOL, DIMETHICONE, GRIFOLA FRONDOSA (MAITAKE)/OPHIOGLOSSUM VULGATUM EXTRACT FERMENT FILTRATE, PEG-11 METHYL ETHER DIMETHICONE, PEG-40 HYDROGENATED CASTOR OIL, PPG-26-BUTETH-26, POLYSORBATE 20, CARBOMER, GLYCERYL CAPRYLATE, TRIETHANOLAMINE, CHAMOMILLA RECUTITA (MATRICARIA) FLOWER EXTRACT, DIMETHICONE/VINYL DIMETHICONE CROSSPOLYMER, HYDROLYZED RICE EXTRACT, LACTOBACILLUS/RICE FERMENT FILTRATE, PORTULACA OLERACEA EXTRACT, SEA WATER, SODIUM HYALURONATE, OCTYLDODECANOL, CARTHAMUS TINCTORIUS (SAFFLOWER) OLEOSOMES, ACACIA ARABICA STEM BARK EXTRACT, HYDROLYZED EXTENSIN, ADENOSINE, XANTHAN GUM, ARONIA ARBUTIFOLIA EXTRACT, BETA VULGARIS (BEET) ROOT EXTRACT, BRASSICA OLERACEA CAPITATA (CABBAGE) LEAF EXTRACT, DAUCUS CAROTA SATIVA (CARROT) ROOT EXTRACT, VACCINIUM ANGUSTIFOLIUM (BLUEBERRY) FRUIT EXTRACT, DIPROPYLENE GLYCOL, ECHIUM PLANTAGINEUM SEED OIL, TOCOPHERYL ACETATE, CYCLOMETHICONE, HYDROGENATED LECITHIN, DISODIUM EDTA, ASCORBYL TETRAISOPALMITATE, CASSIA ALATA LEAF EXTRACT, DEXTRIN, LACTOBACILLUS FERMENT, LACTOCOCCUS FERMENT LYSATE, LAMINARIA DIGITATA EXTRACT, MANILKARA MULTINERVIS LEAF EXTRACT, THEOBROMA CACAO (COCOA) SEED EXTRACT, LAURYL METHACRYLATE/GLYCOL DIMETHACRYLATE CROSSPOLYMER, SACCHAROMYCES FERMENT FILTRATE, LACTOBACILLUS/SOYBEAN FERMENT EXTRACT, GLYCERYL POLYACRYLATE, SACCHAROMYCES/VISCUM ALBUM (MISTLETOE) FERMENT EXTRACT, YEAST FERMENT EXTRACT, POGOSTEMON CABLIN OIL, DIMETHICONOL, CARDIOSPERMUM HALICACABUM FLOWER/LEAF/VINE EXTRACT, HELIANTHUS ANNUUS (SUNFLOWER) SEED OIL UNSAPONIFIABLES, PSEUDOALTEROMONAS FERMENT EXTRACT, ALPHA-GLUCAN OLIGOSACCHARIDE, LIMNANTHES ALBA (MEADOWFOAM) SEED OIL, HYDROLYZED WHEAT PROTEIN, BETA-SITOSTEROL, PANTHENOL, HYDROLYZED SOY PROTEIN, PROPYLENE GLYCOL, CHOLESTEROL, ASCORBYL TETRAISOPALMITATE, CETETH-24, CHOLETH-24, GLYCERYL ARACHIDONATE, GLYCERYL LINOLEATE, GLYCERYL LINOLENATE, UBIQUINONE, HYDROXYPROPYLTRIMONIUM MALTODEXTRIN CROSSPOLYMER, CETYL PHOSPHATE, CAPRYLIC/CAPRIC TRIGLYCERIDE, MACADAMIA TERNIFOLIA SEED OIL, RETINOL, LECITHIN, PHENOXYETHANOL, CUCUMIS MELO (MELON) FRUIT EXTRACT, AMARANTHUS CAUDATUS SEED EXTRACT, BIOTIN, BRASSICA CAMPESTRIS (RAPESEED) STEROL, PEG-5 RAPESEED STEROL, SODIUM ASCORBYL PHOSPHATE, TRIPEPTIDE-10 CITRULLINE, ACETYL HEXAPEPTIDE-8, BHT, CETETH-3, CETETH-5, COPPER TRIPEPTIDE-1, SILICA, TRIPEPTIDE-1",https://cdn.shopify.com/s/files/1/0249/1218/products/Missha-Time-Revolution-Night-Repair-Science-Activatori-Borabit-Ampoule-updated-4-16-18_1024x1024.jpg?v=1529420346,https://sokoglam.com/products/missha-time-revolution-night-repair-new-science-activator-ampoule
NEOGEN,Real Fresh Green Tea Cleansing Stick,"Glycerin, purified water, cocos nucifera (coconut) oil, palmitic acid, stearic acid, lauryl betaine, betaine, camellia sinensis leaf(0.3%), camellia sinensis seed oil(0.1%), camellia japonica seed oil, olea europaea (olive) fruit oil, helianthus annuus (sunflower)seed oil, limnanthes alba (meadowfoam) seed oil, oenothera biennis (eveningprimrose) oil, tocopheryl acetate, citrus aurantifolia (lime) oil, ocimum basillicum (basil) oil, cananga odorata flower oil, citrus limon (lemon) peel oil, origanum heracleoticum floweroil, citrus aurantium dulcis (orange)peel oil, fragrance.",https://cdn.shopify.com/s/files/1/0249/1218/products/Neogen-Real-Fresh-Cleansing-Stick-Green-Tea-1_1024x1024.jpg?v=1522959010,https://sokoglam.com/products/neogen-real-fresh-cleansing-stick-green-tea
